國文,英文,數學,社會,自然
7,15,8,13,12
7,13,11,9,10
8,9,7,13,7
14,7,8,12,15
8,6,12,10,14
10,11,7,11,12
12,11,15,10,10
10,11,14,12,14
14,7,11,9,15
14,8,7,13,13
11,14,7,10,15
15,11,14,8,14
14,12,7,6,7
12,6,12,9,12
7,13,6,14,15
7,13,14,15,14
10,13,15,8,7
15,9,14,10,11
6,10,6,14,15
9,7,11,14,14
8,9,11,13,8
7,12,14,12,6
9,8,12,13,6
8,10,9,6,14
6,10,14,15,11
10,13,13,9,8
13,6,15,8,10
14,13,15,12,6
8,9,11,13,13
13,12,6,9,9
15,8,6,13,13
11,14,13,13,8
7,7,12,8,15
15,12,8,15,10
14,14,14,6,13
12,11,14,11,13
8,7,12,7,14
6,15,7,10,6
8,13,10,9,10
15,11,8,8,13
13,12,11,7,10
8,13,10,7,13
7,10,12,14,12
11,12,7,13,11
12,9,15,12,10
11,11,12,14,15
6,12,15,9,7
8,7,15,14,13
9,13,14,15,8
6,9,10,8,14
7,12,13,12,14
14,10,10,6,9
15,7,12,12,13
14,10,12,8,12
13,9,10,12,12
8,15,7,11,6
10,7,14,13,10
9,9,12,10,7
13,13,8,13,11
10,12,10,12,7
12,7,14,9,10
6,6,7,10,7
11,15,12,10,8
11,8,12,14,7
15,10,11,7,14
6,6,13,14,14
11,6,9,12,6
6,7,11,14,10
7,8,15,7,6
7,15,14,8,6
15,6,14,14,7
10,8,9,9,15
13,14,13,14,6
6,9,14,7,14
7,14,14,7,8
8,15,8,14,7
8,12,13,13,10
12,9,13,10,14
8,6,10,9,7
13,14,8,10,8
12,9,14,11,13
12,10,15,7,6
9,6,8,10,7
10,15,6,11,6
15,13,10,8,13
9,10,10,11,15
15,13,6,7,9
11,12,10,13,10
10,9,12,8,7
14,9,15,6,7
11,11,9,10,8
10,6,14,11,13
13,12,11,14,6
14,10,15,8,8
12,8,12,12,12
12,15,14,13,9
15,11,6,14,11
7,14,13,15,7
13,7,12,15,6
15,11,14,10,15
